geo_code,geo,time,poblacion
TR,Türkiye,2010,72561312
UK,United Kingdom,2010,62510197
AL,Albania,2009,2936355
AT,Austria,2009,8335003
BE,Belgium,2009,10753080
BG,Bulgaria,2009,7467119
CH,Switzerland,2009,7701856
CY,Cyprus,2009,796930
CZ,Czechia,2009,10425783
DE,Germany (until 1990 former territory of the FRG),2009,82002356
DK,Denmark,2009,5511451
EE,Estonia,2009,1335740
EL,Greece,2009,11094745
ES,Spain,2009,46239273
FI,Finland,2009,5326314
FR,France,2009,64350226
HR,Croatia,2009,4309796
HU,Hungary,2009,10030975
IE,Ireland,2009,4521322
IS,Iceland,2009,319368
IT,Italy,2009,59000586
LI,LI Liechtenstein,2009,35589
LT,Lithuania,2009,3183856
LU,LU Luxembourg,2009,493500
LV,Latvia,2009,2162834
ME,Montenegro,2009,617157
MK,North Macedonia,2009,2048619
MT,MT Malta,2009,410926
NL,Netherlands,2009,16485787
NO,Norway,2009,4799252
PL,Poland,2009,38135876
PT,Portugal,2009,10563014
RO,Romania,2009,20440290
RS,Serbia,2009,7334937
SE,Sweden,2009,9256347
SI,Slovenia,2009,2032362
SK,Slovakia,2009,5382401
TR,Türkiye,2009,71517100
UK,United Kingdom,2009,62042343
AL,Albania,2008,2958266
AT,Austria,2008,8307989
BE,Belgium,2008,10666866
BG,Bulgaria,2008,7518002
CH,Switzerland,2008,7593494
CY,Cyprus,2008,776333
CZ,Czechia,2008,10343422
DE,Germany (until 1990 former territory of the FRG),2008,82217837
DK,Denmark,2008,5475791
EE,Estonia,2008,1338440
EL,Greece,2008,11060937
ES,Spain,2008,45668939
FI,Finland,2008,5300484
FR,France,2008,64007193
HR,Croatia,2008,4311967
HU,Hungary,2008,10045401
IE,Ireland,2008,4457765
IS,Iceland,2008,315459
IT,Italy,2008,58652875
LI,LI Liechtenstein,2008,35356
LT,Lithuania,2008,3212605
LU,LU Luxembourg,2008,483799
LV,Latvia,2008,2191810
ME,Montenegro,2008,615543
MK,North Macedonia,2008,2045177
MT,MT Malta,2008,407832
NL,Netherlands,2008,16405399
NO,Norway,2008,4737171
PL,Poland,2008,38115641
PT,Portugal,2008,10553339
RO,Romania,2008,20635460
RS,Serbia,2008,7365507
SE,Sweden,2008,9182927
SI,Slovenia,2008,2010269
SK,Slovakia,2008,5376064
TR,Türkiye,2008,70586256
UK,United Kingdom,2008,61571647
AL,Albania,2007,2981755
AT,Austria,2007,8282984
BE,Belgium,2007,10584534
BG,Bulgaria,2007,7572673
CH,Switzerland,2007,7508739
